Object,IncorCorefEval_file1,IncorCorefEval_file2,IncorCorefEval_improvement,IncorCorefEval_percentage_improvement,IncomCorefEval_file1,IncomCorefEval_file2,IncomCorefEval_improvement,IncomCorefEval_percentage_improvement,IncomDiscoEval_file1,IncomDiscoEval_file2,IncomDiscoEval_improvement,IncomDiscoEval_percentage_improvement,SentiBias_file1,SentiBias_file2,SentiBias_improvement,SentiBias_percentage_improvement,ExtEval_file1,ExtEval_file2,ExtEval_improvement,ExtEval_percentage_improvement
128_rnn_ext_rl,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.07620737180695869,0.3281983163421197,-0.251990944535161,-330.6647881434366,1.0762073718069587,0.3281983163421197,0.748009055464839,69.50417503728183
130_oracle_disco,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,0.5905114762703999,0.5914152004247409,-0.0009037241543410346,-0.15304091294700123,2.5905114762704,0.5914152004247409,1.999096275845659,77.16994478340584
132_oracle_disco,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.2647050215378649,0.2383954568282015,0.02630956470966339,9.939201212282224,1.264705021537865,1.2383954568282016,0.02630956470966339,2.0802925790293214
137_banditsumm,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.15196750605440076,0.09469070810785826,0.0572767979465425,37.69016116250455,1.1519675060544008,0.09469070810785826,1.0572767979465425,91.78008862140712
137_mi_unsup,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,1.0,-1.0,,0.1478961052431259,0.09291730187251235,0.05497880337061356,37.17393590604302,1.147896105243126,1.0929173018725122,0.05497880337061378,4.789527825688475
137_neusumm,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.18563629994750952,0.10370898089022373,0.08192731905728579,44.133242841217765,1.1856362999475096,0.10370898089022373,1.0819273190572858,91.2528841353107
137_oracle,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.024664119171211474,0.09393777478447493,-0.06927365561326346,-280.8681515540245,1.0246641191712116,0.09393777478447493,0.9307263443867366,90.83233490595381
137_oracle_disco,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,0.06645767419249748,0.10475177104235625,-0.038294096849858766,-57.62178305990409,2.0664576741924976,0.10475177104235625,1.9617059031501414,94.93085329786443
137_pacsum_bert,0.0,0.0,0.0,,0.0,1.0,-1.0,,0.0,0.0,0.0,,0.06907036375293202,0.05918884993880058,0.009881513814131437,14.306445307683745,0.06907036375293202,1.0591888499388005,-0.9901184861858685,-1433.4925029895157
137_pacsum_tfidf,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,1.0,-1.0,,0.20643477113335396,0.1122500204422977,0.09418475069105625,45.624460537325966,1.2064347711333538,1.1122500204422976,0.09418475069105625,7.806866392169452
137_refresh,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,0.0907293759655052,0.1748260225227568,-0.0840966465572516,-92.68954587456291,2.090729375965505,0.1748260225227568,1.915903353442748,91.63803672859278
137_textrank_st,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,1.0,-1.0,,0.06497887493460441,0.017323650755376285,0.04765522417922813,73.33956493889586,1.0649788749346043,1.0173236507553762,0.04765522417922807,4.47475769715661
138_oracle,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.03386083641686499,0.17928957329310763,-0.14542873687624264,-429.4894995677344,1.0338608364168649,1.1792895732931077,-0.1454287368762428,-14.066567931934335
138_oracle_disco,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,1.0,0.0,0.0,0.17226917024415273,0.24063505053233641,-0.06836588028818369,-39.685499263327536,2.1722691702441526,1.2406350505323365,0.9316341197118161,42.88760032473807
138_refresh,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.35427148709407985,0.3754986540820354,-0.02122716698795557,-5.991779683448957,1.35427148709408,0.3754986540820354,0.9787728330120445,72.27301485260098
138_textrank_st,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.5165986222429917,0.10866328601080638,0.4079353362321853,78.96562605238722,1.5165986222429917,0.10866328601080638,1.4079353362321854,92.83506628470376
139_oracle,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,0.17572054980943597,0.40059192695965373,-0.22487137715021777,-127.97101841195267,2.175720549809436,0.40059192695965373,1.775128622849782,81.58808000435808
140_oracle_disco,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,0.21269073202792144,0.11348741015212399,0.09920332187579745,46.642052020759564,2.212690732027921,0.11348741015212399,2.0992033218757973,94.87106767749177
143_bert_lstm_pn_rl,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,1.0,-1.0,,0.40802517782517334,0.04293890226485764,0.3650862755603157,89.47640866337527,1.4080251778251733,1.0429389022648576,0.3650862755603157,25.928959319053202
143_matchsumm,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.15372999758390649,0.185748739702696,-0.03201874211878952,-20.827907774677197,0.15372999758390649,0.185748739702696,-0.03201874211878952,-20.827907774677197
143_mi_unsup,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.34428375215200646,0.22505010416972693,0.11923364798227953,34.63237728675505,1.3442837521520064,0.22505010416972693,1.1192336479822793,83.25873508405842
143_neusumm,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0696287577437168,0.2247479173734232,-0.1551191596297064,-222.78030609228287,1.069628757743717,0.2247479173734232,0.8448808403702937,78.98823159471627
143_oracle_disco,0.0,1.0,-1.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.17278980959586243,0.3138350409679804,-0.141045231372118,-81.62821158377815,1.1727898095958624,1.3138350409679804,-0.141045231372118,-12.026471428901782
143_pacsum_tfidf,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.08518958340950866,0.08306927949026294,0.002120303919245725,2.4889239204908025,1.0851895834095087,1.083069279490263,0.0021203039192456696,0.19538557609297924
143_textrank,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.35642263542481323,0.11796565603085418,0.23845697939395905,66.90287195417508,1.3564226354248132,0.11796565603085418,1.238456979393959,91.3031784526429
143_textrank_st,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.03990560800216536,0.45093370726573523,-0.41102809926356987,-1030.0008440950621,1.0399056080021654,0.45093370726573523,0.5889719007364301,56.63705399838596
144_oracle,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.11289986755166737,0.0017230830022266774,0.11117678454944069,98.47379537319819,1.1128998675516675,0.0017230830022266774,1.111176784549441,99.84517178477006
144_oracle_disco,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,0.1332392373255321,0.12593442982151393,0.007304807504018185,5.48247472039409,2.1332392373255322,0.12593442982151393,2.0073048075040183,94.09656321625701
144_textrank,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.13229432489190784,0.12613867010389057,0.006155654788017273,4.652999887218746,1.132294324891908,1.1261386701038907,0.006155654788017273,0.5436444087631465
144_textrank_st,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.22916008744921001,0.11040014809086207,0.11875993935834794,51.82400682434255,0.22916008744921001,0.11040014809086207,0.11875993935834794,51.82400682434255
147_mi_unsup,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.20482434602551314,0.21360096394491845,-0.008776617919405316,-4.2849485862935905,0.20482434602551314,0.21360096394491845,-0.008776617919405316,-4.2849485862935905
147_oracle,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.05931240574864205,0.18899695348712464,-0.1296845477384826,-218.64658177594106,1.059312405748642,1.1889969534871248,-0.1296845477384827,-12.242332576746467
147_oracle_disco,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,1.0,-1.0,,0.38492457838826033,0.14394701294077095,0.24097756544748938,62.603839551244114,1.3849245783882602,1.143947012940771,0.24097756544748927,17.400049736133123
147_textrank_st,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.2963921909831697,0.21422784256962285,0.08216434841354686,27.721495678073538,1.2963921909831697,0.21422784256962285,1.0821643484135468,83.47507459088018
149_banditsumm,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.0402231328189373,0.14140785858035088,-0.10118472576141357,-251.55854024820061,1.0402231328189373,0.14140785858035088,0.8988152742385864,86.40600712299631
149_bert_lstm_pn_rl,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.1225380736092726,0.04705290620525682,0.07548516740401578,61.601398798474115,1.1225380736092725,0.04705290620525682,1.0754851674040156,95.80834652191629
149_matchsumm,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.09594021613399184,0.1001669280230999,-0.004226711889108059,-4.4055684460882985,1.0959402161339917,0.1001669280230999,0.9957732881108918,90.86018319717786
149_oracle,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.6275062176088492,0.10019057119886088,0.5273156464099883,84.03353331212506,1.627506217608849,0.10019057119886088,1.5273156464099882,93.84392083330643
149_oracle_disco,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.019111276914676067,0.01694786424438155,0.0021634126702945178,11.32008436669752,1.0191112769146762,0.01694786424438155,1.0021634126702947,98.33699571103848
15_bert_lstm_pn_rl,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.23984624861429138,0.2418365271762014,-0.0019902785619100305,-0.8298143387310993,1.2398462486142914,0.2418365271762014,0.99800972143809,80.49463573031827
15_matchsumm,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,0.24186992564549048,0.23778202055643005,0.0040879050890604285,1.6901254168540505,2.2418699256454904,0.23778202055643005,2.0040879050890603,89.39358533533266
