Object,IncorCorefEval_file1,IncorCorefEval_file2,IncorCorefEval_improvement,IncorCorefEval_percentage_improvement,IncomCorefEval_file1,IncomCorefEval_file2,IncomCorefEval_improvement,IncomCorefEval_percentage_improvement,IncomDiscoEval_file1,IncomDiscoEval_file2,IncomDiscoEval_improvement,IncomDiscoEval_percentage_improvement,SentiBias_file1,SentiBias_file2,SentiBias_improvement,SentiBias_percentage_improvement,ExtEval_file1,ExtEval_file2,ExtEval_improvement,ExtEval_percentage_improvement
128_matchsumm,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.26764001512977603,0.33183076247223653,-0.0641907473424605,-23.983987338864495,1.267640015129776,0.33183076247223653,0.9358092526575394,73.82294985076935
128_oracle,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.3251888976956252,0.3318946785196507,-0.006705780824025509,-2.062118624450112,1.3251888976956252,0.3318946785196507,0.9932942191759745,74.95491555228215
128_refresh,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.002129571910093886,0.0821003416494932,-0.07997076973939932,-3755.250966654311,1.002129571910094,0.0821003416494932,0.9200292302606008,91.80741253917823
128_rnn_ext_rl,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.07620737180695869,0.08196929752011783,-0.005761925713159144,-7.560850842297395,1.0762073718069587,0.08196929752011783,0.9942380742868409,92.38350343368388
130_oracle_disco,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,0.5905114762703999,0.40226936468527474,0.18824211158512516,31.87780748547681,2.5905114762704,0.40226936468527474,2.188242111585125,84.47143089810093
132_oracle_disco,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.2647050215378649,0.0664150597080343,0.1982899618298306,74.90978473994159,1.264705021537865,0.0664150597080343,1.1982899618298308,94.74857309989373
137_banditsumm,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.15196750605440076,0.19219427987894352,-0.04022677382454276,-26.470641566061186,1.1519675060544008,0.19219427987894352,0.9597732261754572,83.31599816237635
137_mi_unsup,0.0,0.0,0.0,,2.0,0.0,2.0,100.0,0.0,0.0,0.0,,0.1478961052431259,0.2104734427858299,-0.062577337542704,-42.311687275221566,1.147896105243126,0.2104734427858299,0.9374226624572961,81.66441703003676
137_neusumm,0.0,0.0,0.0,,2.0,0.0,2.0,100.0,0.0,0.0,0.0,,0.18563629994750952,0.04259187011630272,0.1430444298312068,77.0562814878631,1.1856362999475096,0.04259187011630272,1.1430444298312068,96.40767829745188
137_oracle,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.024664119171211474,0.03391943900496697,-0.009255319833755493,-37.52544240281856,1.0246641191712116,0.03391943900496697,0.9907446801662446,96.68970169147697
137_oracle_disco,0.0,0.0,0.0,,2.0,0.0,2.0,100.0,2.0,0.0,2.0,100.0,0.06645767419249748,0.0671260080358479,-0.0006683338433504105,-1.0056533748300505,2.0664576741924976,0.0671260080358479,1.9993316661566496,96.75163886131476
137_pacsum_bert,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,-1.0,,0.06907036375293202,0.0842744655538506,-0.015204101800918579,-22.01248259717348,0.06907036375293202,1.0842744655538505,-1.0152041018009186,-1469.8114308943732
137_pacsum_tfidf,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,1.0,-1.0,,0.20643477113335396,0.1647439794867145,0.04169079164663947,20.19562470883735,1.2064347711333538,2.1647439794867145,-0.9583092083533606,-79.43315554914767
137_refresh,0.0,0.0,0.0,,3.0,0.0,3.0,100.0,2.0,0.0,2.0,100.0,0.0907293759655052,0.056216721669382685,0.03451265429612252,38.03911790294252,2.090729375965505,0.056216721669382685,2.0345126542961225,97.31114307209552
137_textrank_st,0.0,0.0,0.0,,3.0,0.0,3.0,100.0,0.0,0.0,0.0,,0.06497887493460441,0.018351040805767604,0.04662783412883681,71.75845099774915,1.0649788749346043,0.018351040805767604,1.0466278341288366,98.27686339722987
138_oracle,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.03386083641686499,0.1417976129003084,-0.10793677648344341,-318.7658306918951,1.0338608364168649,0.1417976129003084,0.8920632235165564,86.28465186941911
138_oracle_disco,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,0.17226917024415273,0.17962585032980244,-0.007356680085649714,-4.270456562380417,2.1722691702441526,0.17962585032980244,1.99264331991435,91.73095798668388
138_refresh,2.0,0.0,2.0,100.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.35427148709407985,0.354364588462676,-9.310136859613793e-05,-0.02627966742675344,1.35427148709408,0.354364588462676,0.9999068986314039,73.8335635181206
138_textrank_st,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.5165986222429917,0.1469562900467561,0.3696423321962356,71.55310066281352,1.5165986222429917,0.1469562900467561,1.3696423321962357,90.31013955232181
139_oracle,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,0.17572054980943597,0.4327176781371236,-0.2569971283276876,-146.25331448506952,2.175720549809436,0.4327176781371236,1.7430028716723123,80.1115231377015
140_oracle_disco,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,0.21269073202792144,0.04295768847482068,0.16973304355310076,79.8027454862578,2.212690732027921,0.04295768847482068,2.1697330435531006,98.0585769238772
143_bert_lstm_pn_rl,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.40802517782517334,0.04018518484749456,0.3678399929776788,90.15129775527903,1.4080251778251733,0.04018518484749456,1.3678399929776788,97.14598961152355
